# lgM*(Msun/h^2) lgMh(Msun/h) sig_lgMh
9.539893219832189075e+00 1.124333449158539722e+01 9.964329573945802845e-04
9.678585001502359120e+00 1.131812482362085781e+01 7.745689260881290358e-04
9.872085401761895085e+00 1.143969286980932232e+01 9.883190192947210757e-04
1.006521574436068178e+01 1.158185139186147872e+01 1.301353532984749102e-03
1.025758443273800147e+01 1.174619880545980699e+01 1.861990323479531789e-03
1.044820083345348927e+01 1.193111175870449259e+01 2.814060655924825478e-03
1.063856552866323568e+01 1.213397252800057124e+01 4.742677603019575944e-03
1.082532474101977726e+01 1.234320568911793181e+01 9.062558639503370470e-03
1.101491957656005738e+01 1.255788171550453391e+01 2.191770456032323539e-02
1.120020677058318093e+01 1.285050473324945841e+01 6.339268063627057082e-02
1.140565161854198450e+01 1.296166607392799719e+01 1.049652738606833419e-01
1.158170893292279935e+01 1.327760055490881541e+01 2.487665608322672250e-01
