# lgM*(Msun/h^2) lgMh(Msun/h) sig_lgMh
9.539901083975806273e+00 1.126003014393459267e+01 1.196872967615201589e-03
9.681377225965475120e+00 1.134600178687327521e+01 8.789330268031896954e-04
9.875398199472369853e+00 1.148293802926195184e+01 1.058784082712775111e-03
1.006870733300961618e+01 1.165506032541508752e+01 1.306168804723937572e-03
1.026186964917459932e+01 1.185313800793387529e+01 1.634079314035479348e-03
1.045483705340224567e+01 1.208643698977760828e+01 2.136425185492722700e-03
1.064595971966177146e+01 1.236182251864160975e+01 2.970443198631681977e-03
1.083706578575261936e+01 1.266762601753799089e+01 4.415786651401282410e-03
1.102689627873913381e+01 1.300902643772277578e+01 7.238135162495935686e-03
1.121879076838852107e+01 1.337861452922242300e+01 1.298436160254195885e-02
1.140292752463147608e+01 1.374998067415625513e+01 2.668115971543400661e-02
1.159092620589754397e+01 1.405123651998713719e+01 6.801078911023894502e-02
1.178870482907762529e+01 1.418654906409745564e+01 3.402600948806088627e-02
